"USDAED","USDAFN","USDALL","USDAMD","USDANG","USDAOA","USDARS","USDAUD","USDAWG","USDAZN","USDBAM","USDBBD","USDBDT","USDBGN","USDBHD","USDBIF","USDBMD","USDBND","USDBOB","USDBRL","USDBSD","USDBTC","USDBTN","USDBWP","USDBYN","USDBYR","USDBZD","USDCAD","USDCDF","USDCHF","USDCLF","USDCLP","USDCNY","USDCOP","USDCRC","USDCUC","USDCUP","USDCVE","USDCZK","USDDJF","USDDKK","USDDOP","USDDZD","USDEGP","USDERN","USDETB","USDEUR","USDFJD","USDFKP","USDGBP","USDGEL","USDGGP","USDGHS","USDGIP","USDGMD","USDGNF","USDGTQ","USDGYD","USDHKD","USDHNL","USDHRK","USDHTG","USDHUF","USDIDR","USDILS","USDIMP","USDINR","USDIQD","USDIRR","USDISK","USDJEP","USDJMD","USDJOD","USDJPY","USDKES","USDKGS","USDKHR","USDKMF","USDKPW","USDKRW","USDKWD","USDKYD","USDKZT","USDLAK","USDLBP","USDLKR","USDLRD","USDLSL","USDLTL","USDLVL","USDLYD","USDMAD","USDMDL","USDMGA","USDMKD","USDMMK","USDMNT","USDMOP","USDMRO","USDMUR","USDMVR","USDMWK","USDMXN","USDMYR","USDMZN","USDNAD","USDNGN","USDNIO","USDNOK","USDNPR","USDNZD","USDOMR","USDPAB","USDPEN","USDPGK","USDPHP","USDPKR","USDPLN","USDPYG","USDQAR","USDRON","USDRSD","USDRUB","USDRWF","USDSAR","USDSBD","USDSCR","USDSDG","USDSEK","USDSGD","USDSHP","USDSLL","USDSOS","USDSRD","USDSTD","USDSVC","USDSYP","USDSZL","USDTHB","USDTJS","USDTMT","USDTND","USDTOP","USDTRY","USDTTD","USDTWD","USDTZS","USDUAH","USDUGX","USDUSD","USDUYU","USDUZS","USDVEF","USDVND","USDVUV","USDWST","USDXAF","USDXAG","USDXAU","USDXCD","USDXDR","USDXOF","USDXPF","USDYER","USDZAR","USDZMK","USDZMW","USDZWL"
3.673198,86.144809,103.697397,492.279771,1.795355,636.083977,97.355503,1.379054,1.8005,1.702786,1.66528,2.019541,85.355808,1.664378,0.376976,1984.452628,1,1.35351,6.90649,5.245802,1.000192,2.0986489e-05,74.243136,11.200664,2.506311,19600,2.016135,1.26284,1996.99954,0.91465,0.028344,782.11018,6.4782,3867.85585,621.384023,1,26.5,93.884502,21.745966,178.062539,6.33485,56.982056,135.270466,15.7211,15.004813,45.583516,0.851855,2.102649,0.722603,0.729035,3.109711,0.722603,6.041338,0.722603,51.120276,9801.656059,7.741672,209.182826,7.78433,23.791907,6.382601,99.521914,297.025996,14412.35,3.23324,0.722603,74.25525,1459.098455,42189.999678,126.590008,0.722603,152.793376,0.709008,109.893504,109.710055,84.696399,4079.257651,418.950164,900.000168,1168.114975,0.30098,0.833479,426.139339,9595.624228,1512.335299,199.513557,171.75008,15.059621,2.95274,0.60489,4.528832,8.982311,17.703825,3922.850635,52.491236,1646.112204,2850.901143,8.018388,356.999828,42.402014,15.449803,812.68652,20.2658,4.204982,63.720163,15.059947,411.840035,35.122927,8.84943,118.789427,1.439535,0.38502,1.000192,4.096383,3.556464,49.845975,165.711318,3.895701,6932.97005,3.641001,4.199199,100.112816,73.782499,1008.867792,3.750607,8.051613,12.84936,443.999716,8.70822,1.354801,1.377398,10250.000076,583.999567,21.395503,20697.981008,8.751996,1257.573972,14.928713,32.749838,11.412503,3.5,2.7965,2.270501,8.41244,6.794355,27.932494,2319.252021,26.730667,3535.792588,1,42.988124,10656.327295,213830222338.073,22792.5,110.886926,2.560764,558.427617,0.042146,0.000557,2.70255,0.704573,558.510824,101.950179,250.749993,14.98417,9001.200451,16.478597,321.999592
3.6731,86.138664,103.446226,492.543651,1.794959,636.083999,97.382636,1.376296,1.8005,1.70349,1.660974,2.019074,85.348189,1.663231,0.377009,1983.966438,1,1.352504,6.89483,5.2109,0.999983,2.1286042e-05,74.178783,11.198026,2.514182,19600,2.015677,1.260315,1997.000245,0.91617,0.028384,783.195602,6.481903,3865.5,621.628507,1,26.5,93.641722,21.702802,178.018208,6.31495,56.908588,135.189785,15.727397,15.004813,45.597612,0.849175,2.10265,0.722603,0.727575,3.120058,0.722603,6.039897,0.722603,51.160188,9802.296352,7.739826,209.049528,7.78665,23.803417,6.359919,98.748217,296.354987,14444.95,3.220397,0.722603,74.15145,1458.973096,42190.000178,126.169868,0.722603,152.411849,0.708979,110.084011,109.769787,84.699758,4077.89252,418.850029,900.000168,1167.280332,0.30099,0.833362,426.990624,9584.805354,1512.161152,199.495805,171.849703,14.970219,2.95274,0.60489,4.528161,8.966217,17.694646,3922.4217,52.326075,1645.965164,2850.901143,8.020246,356.999828,43.049825,15.470068,812.493206,20.299016,4.195037,63.725017,14.970218,411.489974,35.114478,8.794975,118.685882,1.434005,0.38501,0.999983,4.084092,3.556118,49.963994,166.746467,3.885989,6927.865344,3.641004,4.187904,99.85393,73.971502,1008.747197,3.750786,8.051577,12.870122,442.502956,8.69355,1.352325,1.377394,10325.00016,584.999826,21.372978,20697.981008,8.749745,1257.573972,14.91601,32.730228,11.409743,3.5,2.787503,2.263304,8.365048,6.79929,27.9445,2318.949996,26.814746,3534.886881,1,42.823901,10653.780828,213830222338.073,22787,110.886926,2.560764,557.066547,0.042148,0.000559,2.70255,0.704107,557.061816,101.694926,250.800572,14.90277,9001.196938,16.424689,321.999592
3.6731,86.138664,103.446226,492.543651,1.794959,636.083999,97.382636,1.376296,1.8005,1.70349,1.660974,2.019074,85.348189,1.663231,0.377009,1983.966438,1,1.352504,6.89483,5.2109,0.999983,2.1286042e-05,74.178783,11.198026,2.514182,19600,2.015677,1.260315,1997.000245,0.91617,0.028384,783.195602,6.481903,3865.5,621.628507,1,26.5,93.641722,21.702802,178.018208,6.31495,56.908588,135.189785,15.727397,15.004813,45.597612,0.849175,2.10265,0.722603,0.727575,3.120058,0.722603,6.039897,0.722603,51.160188,9802.296352,7.739826,209.049528,7.78665,23.803417,6.359919,98.748217,296.354987,14444.95,3.220397,0.722603,74.15145,1458.973096,42190.000178,126.169868,0.722603,152.411849,0.708979,110.084011,109.769787,84.699758,4077.89252,418.850029,900.000168,1167.280332,0.30099,0.833362,426.990624,9584.805354,1512.161152,199.495805,171.849703,14.970219,2.95274,0.60489,4.528161,8.966217,17.694646,3922.4217,52.326075,1645.965164,2850.901143,8.020246,356.999828,43.049825,15.470068,812.493206,20.299016,4.195037,63.725017,14.970218,411.489974,35.114478,8.794975,118.685882,1.434005,0.38501,0.999983,4.084092,3.556118,49.963994,166.746467,3.885989,6927.865344,3.641004,4.187904,99.85393,73.971502,1008.747197,3.750786,8.051577,12.870122,442.502956,8.69355,1.352325,1.377394,10325.00016,584.999826,21.372978,20697.981008,8.749745,1257.573972,14.91601,32.730228,11.409743,3.5,2.787503,2.263304,8.365048,6.79929,27.9445,2318.949996,26.814746,3534.886881,1,42.823901,10653.780828,213830222338.073,22787,110.886926,2.560764,557.066547,0.042148,0.000559,2.70255,0.704107,557.061816,101.694926,250.800572,14.90277,9001.196938,16.424689,321.999592
3.6731,86.138664,103.446226,492.543651,1.794959,636.083999,97.382636,1.376296,1.8005,1.70349,1.660974,2.019074,85.348189,1.663231,0.377009,1983.966438,1,1.352504,6.89483,5.2109,0.999983,2.1286042e-05,74.178783,11.198026,2.514182,19600,2.015677,1.260315,1997.000245,0.91617,0.028384,783.195602,6.481903,3865.5,621.628507,1,26.5,93.641722,21.702802,178.018208,6.31495,56.908588,135.189785,15.727397,15.004813,45.597612,0.849175,2.10265,0.722603,0.727575,3.120058,0.722603,6.039897,0.722603,51.160188,9802.296352,7.739826,209.049528,7.78665,23.803417,6.359919,98.748217,296.354987,14444.95,3.220397,0.722603,74.15145,1458.973096,42190.000178,126.169868,0.722603,152.411849,0.708979,110.084011,109.769787,84.699758,4077.89252,418.850029,900.000168,1167.280332,0.30099,0.833362,426.990624,9584.805354,1512.161152,199.495805,171.849703,14.970219,2.95274,0.60489,4.528161,8.966217,17.694646,3922.4217,52.326075,1645.965164,2850.901143,8.020246,356.999828,43.049825,15.470068,812.493206,20.299016,4.195037,63.725017,14.970218,411.489974,35.114478,8.794975,118.685882,1.434005,0.38501,0.999983,4.084092,3.556118,49.963994,166.746467,3.885989,6927.865344,3.641004,4.187904,99.85393,73.971502,1008.747197,3.750786,8.051577,12.870122,442.502956,8.69355,1.352325,1.377394,10325.00016,584.999826,21.372978,20697.981008,8.749745,1257.573972,14.91601,32.730228,11.409743,3.5,2.787503,2.263304,8.365048,6.79929,27.9445,2318.949996,26.814746,3534.886881,1,42.823901,10653.780828,213830222338.073,22787,110.886926,2.560764,557.066547,0.042148,0.000559,2.70255,0.704107,557.061816,101.694926,250.800572,14.90277,9001.196938,16.424689,321.999592
3.6731,86.138664,103.446226,492.543651,1.794959,636.083999,97.382636,1.376296,1.8005,1.70349,1.660974,2.019074,85.348189,1.663231,0.377009,1983.966438,1,1.352504,6.89483,5.2109,0.999983,2.1286042e-05,74.178783,11.198026,2.514182,19600,2.015677,1.260315,1997.000245,0.91617,0.028384,783.195602,6.481903,3865.5,621.628507,1,26.5,93.641722,21.702802,178.018208,6.31495,56.908588,135.189785,15.727397,15.004813,45.597612,0.849175,2.10265,0.722603,0.727575,3.120058,0.722603,6.039897,0.722603,51.160188,9802.296352,7.739826,209.049528,7.78665,23.803417,6.359919,98.748217,296.354987,14444.95,3.220397,0.722603,74.15145,1458.973096,42190.000178,126.169868,0.722603,152.411849,0.708979,110.084011,109.769787,84.699758,4077.89252,418.850029,900.000168,1167.280332,0.30099,0.833362,426.990624,9584.805354,1512.161152,199.495805,171.849703,14.970219,2.95274,0.60489,4.528161,8.966217,17.694646,3922.4217,52.326075,1645.965164,2850.901143,8.020246,356.999828,43.049825,15.470068,812.493206,20.299016,4.195037,63.725017,14.970218,411.489974,35.114478,8.794975,118.685882,1.434005,0.38501,0.999983,4.084092,3.556118,49.963994,166.746467,3.885989,6927.865344,3.641004,4.187904,99.85393,73.971502,1008.747197,3.750786,8.051577,12.870122,442.502956,8.69355,1.352325,1.377394,10325.00016,584.999826,21.372978,20697.981008,8.749745,1257.573972,14.91601,32.730228,11.409743,3.5,2.787503,2.263304,8.365048,6.79929,27.9445,2318.949996,26.814746,3534.886881,1,42.823901,10653.780828,213830222338.073,22787,110.886926,2.560764,557.066547,0.042148,0.000559,2.70255,0.704107,557.061816,101.694926,250.800572,14.90277,9001.196938,16.424689,321.999592
3.6731,86.138664,103.446226,492.543651,1.794959,636.083999,97.382636,1.376296,1.8005,1.70349,1.660974,2.019074,85.348189,1.663231,0.377009,1983.966438,1,1.352504,6.89483,5.2109,0.999983,2.1286042e-05,74.178783,11.198026,2.514182,19600,2.015677,1.260315,1997.000245,0.91617,0.028384,783.195602,6.481903,3865.5,621.628507,1,26.5,93.641722,21.702802,178.018208,6.31495,56.908588,135.189785,15.727397,15.004813,45.597612,0.849175,2.10265,0.722603,0.727575,3.120058,0.722603,6.039897,0.722603,51.160188,9802.296352,7.739826,209.049528,7.78665,23.803417,6.359919,98.748217,296.354987,14444.95,3.220397,0.722603,74.15145,1458.973096,42190.000178,126.169868,0.722603,152.411849,0.708979,110.084011,109.769787,84.699758,4077.89252,418.850029,900.000168,1167.280332,0.30099,0.833362,426.990624,9584.805354,1512.161152,199.495805,171.849703,14.970219,2.95274,0.60489,4.528161,8.966217,17.694646,3922.4217,52.326075,1645.965164,2850.901143,8.020246,356.999828,43.049825,15.470068,812.493206,20.299016,4.195037,63.725017,14.970218,411.489974,35.114478,8.794975,118.685882,1.434005,0.38501,0.999983,4.084092,3.556118,49.963994,166.746467,3.885989,6927.865344,3.641004,4.187904,99.85393,73.971502,1008.747197,3.750786,8.051577,12.870122,442.502956,8.69355,1.352325,1.377394,10325.00016,584.999826,21.372978,20697.981008,8.749745,1257.573972,14.91601,32.730228,11.409743,3.5,2.787503,2.263304,8.365048,6.79929,27.9445,2318.949996,26.814746,3534.886881,1,42.823901,10653.780828,213830222338.073,22787,110.886926,2.560764,557.066547,0.042148,0.000559,2.70255,0.704107,557.061816,101.694926,250.800572,14.90277,9001.196938,16.424689,321.999592
3.6731,86.138664,103.446226,492.543651,1.794959,636.083999,97.382636,1.376296,1.8005,1.70349,1.660974,2.019074,85.348189,1.663231,0.377009,1983.966438,1,1.352504,6.89483,5.2109,0.999983,2.1286042e-05,74.178783,11.198026,2.514182,19600,2.015677,1.260315,1997.000245,0.91617,0.028384,783.195602,6.481903,3865.5,621.628507,1,26.5,93.641722,21.702802,178.018208,6.31495,56.908588,135.189785,15.727397,15.004813,45.597612,0.849175,2.10265,0.722603,0.727575,3.120058,0.722603,6.039897,0.722603,51.160188,9802.296352,7.739826,209.049528,7.78665,23.803417,6.359919,98.748217,296.354987,14444.95,3.220397,0.722603,74.15145,1458.973096,42190.000178,126.169868,0.722603,152.411849,0.708979,110.084011,109.769787,84.699758,4077.89252,418.850029,900.000168,1167.280332,0.30099,0.833362,426.990624,9584.805354,1512.161152,199.495805,171.849703,14.970219,2.95274,0.60489,4.528161,8.966217,17.694646,3922.4217,52.326075,1645.965164,2850.901143,8.020246,356.999828,43.049825,15.470068,812.493206,20.299016,4.195037,63.725017,14.970218,411.489974,35.114478,8.794975,118.685882,1.434005,0.38501,0.999983,4.084092,3.556118,49.963994,166.746467,3.885989,6927.865344,3.641004,4.187904,99.85393,73.971502,1008.747197,3.750786,8.051577,12.870122,442.502956,8.69355,1.352325,1.377394,10325.00016,584.999826,21.372978,20697.981008,8.749745,1257.573972,14.91601,32.730228,11.409743,3.5,2.787503,2.263304,8.365048,6.79929,27.9445,2318.949996,26.814746,3534.886881,1,42.823901,10653.780828,213830222338.073,22787,110.886926,2.560764,557.066547,0.042148,0.000559,2.70255,0.704107,557.061816,101.694926,250.800572,14.90277,9001.196938,16.424689,321.999592
3.67301,86.125012,103.693562,492.319074,1.794866,634.999865,97.444553,1.37931,1.8005,1.696998,1.66317,2.018938,85.344547,1.66432,0.377049,1983.902582,1,1.350976,6.904542,5.257703,0.999945,2.1048461e-05,74.055946,11.197527,2.517422,19600,2.015536,1.26879,1996.999766,0.917602,0.028551,787.819893,6.478603,3867.462042,621.608636,1,26.5,93.765546,21.727022,178.015502,6.32285,56.976186,135.5488,15.706797,15.004813,45.624232,0.850255,2.104022,0.722603,0.729075,3.119765,0.722603,6.039636,0.722603,51.180029,9799.356273,7.739516,209.12187,7.78996,23.802579,6.366,97.993563,298.250262,14413.95,3.23215,0.722603,73.72535,1458.903964,42190.000121,126.680172,0.722603,151.944998,0.709026,110.154503,109.802964,84.699323,4077.757416,418.99999,900.000168,1169.669855,0.301024,0.833273,427.623271,9586.169656,1511.864724,199.487315,171.849884,14.919851,2.95274,0.60489,4.52692,8.974332,17.663366,3920.754444,52.395267,1645.895073,2850.901143,8.023538,356.999828,42.710094,15.449867,812.888139,20.39443,4.190344,63.724992,14.920083,411.719744,35.11244,8.812785,118.489921,1.439025,0.385017,0.999945,4.071805,3.555973,49.959666,166.589397,3.897303,6934.560127,3.640976,4.194996,99.985969,74.085501,1008.780023,3.750399,8.058065,12.940291,443.501252,8.7023,1.35077,1.3774,10325.000241,585.000153,21.368015,20697.981008,8.74941,1257.573972,14.922043,32.665986,11.409268,3.51,2.7895,2.267398,8.395735,6.787192,27.932497,2318.927013,26.929033,3533.778641,1,42.821853,10640.061566,213830222338.073,22788.943548,110.886926,2.560764,557.803166,0.042352,0.000557,2.70255,0.703592,557.803166,101.880346,250.850079,14.91035,9001.20029,15.973945,321.999592
3.67301,86.125012,103.693562,492.319074,1.794866,634.999865,97.444553,1.37931,1.8005,1.696998,1.66317,2.018938,85.344547,1.66432,0.377049,1983.902582,1,1.350976,6.904542,5.257703,0.999945,2.1048461e-05,74.055946,11.197527,2.517422,19600,2.015536,1.26879,1996.999766,0.917602,0.028551,787.819893,6.478603,3867.462042,621.608636,1,26.5,93.765546,21.727022,178.015502,6.32285,56.976186,135.5488,15.706797,15.004813,45.624232,0.850255,2.104022,0.722603,0.729075,3.119765,0.722603,6.039636,0.722603,51.180029,9799.356273,7.739516,209.12187,7.78996,23.802579,6.366,97.993563,298.250262,14413.95,3.23215,0.722603,73.72535,1458.903964,42190.000121,126.680172,0.722603,151.944998,0.709026,110.154503,109.802964,84.699323,4077.757416,418.99999,900.000168,1169.669855,0.301024,0.833273,427.623271,9586.169656,1511.864724,199.487315,171.849884,14.919851,2.95274,0.60489,4.52692,8.974332,17.663366,3920.754444,52.395267,1645.895073,2850.901143,8.023538,356.999828,42.710094,15.449867,812.888139,20.39443,4.190344,63.724992,14.920083,411.719744,35.11244,8.812785,118.489921,1.439025,0.385017,0.999945,4.071805,3.555973,49.959666,166.589397,3.897303,6934.560127,3.640976,4.194996,99.985969,74.085501,1008.780023,3.750399,8.058065,12.940291,443.501252,8.7023,1.35077,1.3774,10325.000241,585.000153,21.368015,20697.981008,8.74941,1257.573972,14.922043,32.665986,11.409268,3.51,2.7895,2.267398,8.395735,6.787192,27.932497,2318.927013,26.929033,3533.778641,1,42.821853,10640.061566,213830222338.073,22788.943548,110.886926,2.560764,557.803166,0.042352,0.000557,2.70255,0.703592,557.803166,101.880346,250.850079,14.91035,9001.20029,15.973945,321.999592
3.67301,86.125012,103.693562,493.710403,1.794866,635.000367,97.48368,1.367615,1.8005,1.70397,1.66317,2.018938,85.344547,1.658777,0.377018,1983.902582,1,1.350976,6.904542,5.205041,0.999945,2.048731e-05,74.055946,11.197527,2.517422,19600,2.015536,1.262385,1997.000362,0.911613,0.028384,783.203912,6.471804,3829.01,621.608636,1,26.5,93.765546,21.62495,177.720394,6.303704,56.976186,135.473971,15.69934,15.004813,45.624232,0.847788,2.10404,0.722603,0.72648,3.120391,0.722603,6.039636,0.722603,51.18039,9799.356273,7.739516,209.12187,7.787655,23.802579,6.349504,97.993563,296.03504,14323.15,3.21987,0.722603,73.496804,1458.903964,42190.000352,126.650386,0.722603,151.944998,0.70904,109.827504,109.850385,84.703801,4077.757416,419.00035,900.000168,1162.330384,0.300904,0.833273,427.623271,9586.169656,1511.864724,199.487315,171.850382,14.920382,2.95274,0.60489,4.52692,8.974332,17.663366,3920.754444,52.395267,1645.895073,2850.901143,8.023538,356.999828,42.703743,15.450378,812.888139,20.19695,4.195039,63.725039,14.920377,411.503727,35.11244,8.68299,118.489921,1.426415,0.38501,0.999945,4.071805,3.555973,49.880375,166.589397,3.879904,6934.560127,3.641038,4.184304,99.985969,73.250104,1008.780023,3.750837,8.058065,13.542457,443.503678,8.64472,1.346005,1.377404,10325.000339,585.000338,21.374504,20697.981008,8.74941,1257.573972,14.922043,32.461504,11.409268,3.51,2.789504,2.267404,8.353704,6.787192,27.888904,2318.853038,26.929033,3533.778641,1,42.821853,10640.061566,213830222338.073,22790,110.886926,2.560764,557.803166,0.041631,0.00055,2.70255,0.703592,557.803166,101.880364,250.850364,14.72839,9001.203593,15.973945,321.999592
