text,favorited,created,statusSource,retweetCount,,,
RT @farnazfassihi: A 345-seat chartered plane to evacuate Afghans leaves Kabul empty today because they couldn't get through Taliban checkp…,FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",150,,,
"@LeaderMcConnell If Trump made a deal with the Taliban in Feb. 2020. 
Freed 5,000 Taliban prisoners.
Reduced Americ… https://t.co/CvEPzqgrNZ",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,,
"RT @kurdistannews24: Video:Taliban Terrorists deployed barrels of explosion   to blow up #Panjshir Bridge in #Afghanistan 

in new video on…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9,,,
"RT @SiaKordestani: Never forget that in March 2001 the Taliban destroyed the Buddhas of Bamiyan, monumental statues made in 6th century Afg…",FALSE,25-08-2021 18:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",26,,,
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2492,,,
"RT @AnsarAAbbasi: What Taliban think of those Afghans leaving the country, and what is their message for the families of US, British and Na…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",358,,,
"RT @alinazary: Newly graduated cadets of the National Resistance Front of Afghanistan (NRF)
https://t.co/GUlfgywrR0",FALSE,25-08-2021 18:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",27,,,
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2492,,,
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,25-08-2021 18:13,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",2492,,,
"RT @Quicktake: “A lot of people were stuck there and waiting for days to get through the airport.”

Afghans seeking to evacuate are facing…",FALSE,25-08-2021 18:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",8,,,
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2492,,,
@Natsecjeff @ToreRHamming It'll be interesting to see if the taliban face an insurgency from IS in Afghanistan.,FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,,
"4,100 US citizens remain in Afghanistan, source says
https://t.co/JnuHiIccKk",FALSE,25-08-2021 18:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,,,
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,25-08-2021 18:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2492,,,
"RT @LibDems: Captain Hindsight’s excuses just won’t cut it with the British people. Enough is enough.

Raab must publish the exact advice w…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",49,,,
"RT @nytimes: In Opinion

“I’m not here to absolve the Afghan Army of mistakes,” writes Sami Sadat, an Afghan National Army commander, in a…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",61,,,
"RT @Chellaney: Biden's Afghanistan disaster is ""one of the worst catastrophes in American foreign policy history"" that will haunt the U.S.…",FALSE,25-08-2021 18:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",330,,,
"RT @cnlester: As a personal favour, please could you RT? We desperately need to get as many people out as possible - everything else can wa…",FALSE,25-08-2021 18:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30,,,
